School,City,State,Latitude,Longitude,MD-PhD Program,MD-PhD_link,#1 Specialty (2025 Match),#2 Specialty (2025 Match),#3 Specialty (2025 Match),image_url,Description,Website,LCME Accreditation Status,Initial Year of LCME Accreditation,hierarchical_cluster,cluster_summary
"Robert Larner, M.D., College of Medicine at the University of Vermont",Burlington,Vermont,44.4782604,-73.19631,No,,Internal Medicine,Anesthesiology,Family Medicine,https://www.uvm.edu/d10-files/styles/default_1920/public/images/2024-07/DUL_4712_e.jpg?itok=vcNPz1hX,"Medical education has transformed over the years, with Larner leading the way. The Vermont Integrated Curriculum was among the first to provide patient contact on arrival to medical school. In 2017, we committed to evidence-based teaching methodology and active learning for curriculum delivery. Our Teaching Academy complements the student learning experience with ongoing professional development while clinical experience is enhanced through opportunities in Burlington and at our branch campus in Connecticut. Through the Graduate College, students can pursue studies through our Master of Public Health and Master’s in Medical Science programs, as well as other graduate and Ph.D. degrees, with research experience in our laboratories as part of the Cellular, Molecular and Biomedical and Neuroscience programs.

Patient care is at the heart of our college. In partnership with the UVM Health Network Medical Group, our clinical faculty provides outstanding care that extends from primary care to tertiary and quaternary care available at the flagship academic UVM Medical Center. 

We are committed to providing our largely rural population with the best possible patient-centered care; for example, our growing UVM Cancer Center supports rural primary care physicians to allow them to treat their patients close to home, when possible, with smooth transition back and forth to the UVM Medical Center as needed.

Medical care must be informed by science, and we are proud to contribute to advances in understanding health and disease through a robust portfolio of grant funding, the majority from the National Institutes of Health. Research in the college spans fundamental basic and translational investigation to clinical, epidemiological, and health services research. ",https://www.uvm.edu/larnermed,Full,On or prior to 1942*,4,"college, care, health, meharry, medical"
Roseman University College of Medicine,Las Vegas,Nevada,36.0734599,-115.067394,No,,Not available,Not available,Not available,https://www.roseman.edu/app/uploads/2025/01/DSC00351-scaled.jpg,"Founded in Henderson, Nevada in 1999, Roseman University of Health Sciences is a non-profit, private institution training new generations of healthcare professionals that serve, collaborate and set new standards in their communities and within their professions.",https://www.roseman.edu/academic-programs/college-of-medicine/,Preliminary,2025,28,"private, institution, professions, cdu, roseman"
Rush Medical College of Rush University Medical Center,Chicago,Illinois,41.8742854,-87.67161,No,,Internal Medicine,Anesthesiology,Emergency Medicine,https://www.rushu.rush.edu/sites/default/files/legacy/Alumni/rush-history-5.jpg,"Rush Medical College, located in Chicago, offers medical students a supportive environment where they can gain in-depth clinical experience from our renowned practitioner-teachers. Founded in 1837, Rush has an acclaimed history as one of the first medical colleges in the Midwest and continues to make major contributions to medical science and education through research and clinical trials.",https://www.rushu.rush.edu/rush-medical-college,Full,On or prior to 1942*,17,"medical, college, colleges, florida, program"
Rutgers New Jersey Medical School,Newark,New Jersey,40.7400844,-74.19223,Yes,https://njms.rutgers.edu/admissions/MD_PhD/index.php,Not available,Not available,Not available,https://njms.rutgers.edu/education/office_education/curriculum/images/universityhospital.jpg,"As the state's oldest medical school, we have a strong track record of expertise and innovation. NJMS graduates students with:

Excellent clinical skills
Professionalism and humanism
A commitment to community health
An appreciation of social and cultural diversity
Integration of clinical, basic and health systems sciences
The ability to communicate clearly and compassionately
A dedication to life-long learning and personal wellness",https://njms.rutgers.edu/,Full,1958,14,"students, medical, stritch, basic, excel"
"Rutgers, Robert Wood Johnson Medical School",Piscataway,New Jersey,40.4950522,-74.4519615,Yes,https://grad.rutgers.edu/academics/graduate-programs/mdphd-program,Internal Medicine,Obstetrics-Gynecology,Pediatrics,https://www.drnajeeblectures.com/wp-content/uploads/2020/03/rwjuhasdasd-e1583758205894.jpg,"Our mission, vision, and values are more than just words: They are a promise to inspire, to heal, and to lead.

Mission
Robert Wood Johnson Medical School is dedicated to transforming care through innovation and excellence in education and research and by addressing the health of our diverse community.  As one of the nation’s leading comprehensive medical schools, Robert Wood Johnson Medical School is dedicated to the pursuit of excellence in these mission areas: education, research, healthcare delivery, and the promotion of community and global health.

Vision
As the state’s first and largest academic high-value health care system, Robert Wood Johnson Medical School will become the academic engine driving a new health care paradigm in New Jersey.

Values
R – Respect, dignity, and humanism for the diverse population we serve
W – Wellness and resilience
J – Joining learners hand-in-hand with care delivery
M – Making patients first with safe, compassionate, high-quality care
S – Science to advance human health",https://rwjms.rutgers.edu/,Full,1966,31,"health, transforming, school, indiana, medicine"
Saint Louis University School of Medicine,Saint Louis,Missouri,38.6224591,-90.2403696,Yes,https://www.slu.edu/medicine/medical-education/md-phd/index.php,Not available,Not available,Not available,https://www.slu.edu/medicine/-img/refresh/medicine-special-2-min.jpg,"Saint Louis University School of Medicine has a long tradition of excellence in teaching, research and patient care. Established in 1836, the school has the distinction of awarding the first medical degree west of the Mississippi River.

The school is a leading center of research in infectious disease, liver disease, aging and brain disorders, immunology, and neuroscience.  The School of Medicine is located on the SLU health campus south of the main campus, adjacent to the nursing and allied health schools, and across Grand Blvd from SSM Health Saint Louis University Hospital and SSM Health Cardinal Glennon Hospital.",https://www.slu.edu/medicine/index.php,Full,On or prior to 1942*,13,"center, simulation, ummc, campus, health"
San Juan Bautista School of Medicine,"Caguas, PR",,18.2193696,-66.053302,No,,Not available,Not available,Not available,https://e1.nmcdn.io/paea/wp-content/uploads/2022/05/San-Juan-Bautista-School-of-Medicine-e1592240551171-edited.jpeg/v:1-width:1200-height:630-fit:cover/San-Juan-Bautista-School-of-Medicine-e1592240551171-edited.jpeg?signature=68224533,"Mission of the SJBSM
We are committed to educating a culturally and linguistically diverse generation of physicians and other health professionals. Graduates will have the knowledge, skills, values, and competence to pursue career options in medicine, public health, nursing and physician assistant, deliver high quality care services, and conduct clinical research. The school’s special interest is centered on community health, conducting research on translational community medicine, and on graduating physicians and other health professionals who are responsive to the health needs of underserved and medically vulnerable populations.

Vision of the SJBSM
To hold a leadership position among the surveyors of quality education in community medicine and primary care to support and strengthen the efforts of state and local government in improving the health conditions and access to care to urban and rural communities.",https://www.sanjuanbautista.edu/,Full,2007,1,"health, services, care, research, education"
Sidney Kimmel Medical College at Thomas Jefferson University,Philadelphia,Pennsylvania,39.94876,-75.16045,Yes,https://www.jefferson.edu/academics/colleges-schools-institutes/skmc/programs/md-phd.html,Internal Medicine,Orthopedic Surgery,Psychiatry,https://kimmel.org/app/uploads/2015/03/32-e1433267268371.jpg,"Founded in 1824, Sidney Kimmel Medical College has awarded more than 31,000 medical degrees and has more living graduates than any other private medical school in the nation.

The medical college is focused on educating physicians who will form and lead the integrated healthcare delivery and research teams of tomorrow. These physicians will discover new knowledge that will define the future of clinical care through investigation from the laboratory to the bedside, and into the community; setting the standard for quality, compassionate and efficient patient care for our community and for the nation.",https://www.jefferson.edu/academics/colleges-schools-institutes/skmc.html,Full,On or prior to 1942*,4,"college, care, health, meharry, medical"
Southern Illinois University School of Medicine,Springfield,Illinois,39.8105252,-89.660298,No,,Emergency Medicine,Internal Medicine,Family Medicine,https://www.siumed.edu/sites/default/files/styles/landscape_1120/public/2021-08/201%20E%20Madison-7837.JPG?h=c06020b5&itok=KstRYpg4,"We are SIU Medicine, a publicly assisted medical school and a clinical practice focused on the health care needs of downstate Illinois. The School of Medicine is part of Southern Illinois University in Carbondale.

For more than 50 years, SIU Medicine has been an innovative leader in medical education and a key player in the development of the regional academic medical center in Springfield. Set amid the city’s growing Mid-Illinois Medical District, the school is a driving force in improving the population’s health.

Our student experience focuses on empathetic values and a philosophy of treating patients as people, not diseases. Creative, interactive training makes our graduates among the most skilled and confident clinicians in the nation.

World-class scientific research and community outreach complement the SIU mission. Together, our faculty, learners and staff are meeting the Triple Aim + 1: health care that is more effective, efficient, equitable and enjoyable.",https://www.siumed.edu/,Full,1972,37,"school, medical, university, duke, health"
Spencer Fox Eccles School of Medicine at the University of Utah,Salt Lake City,Utah,40.7657827,-111.843724,Yes,https://medicine.utah.edu/programs/combined/md-phd,Internal Medicine,Family Medicine,Pediatrics,https://medicine.utah.edu/sites/g/files/zrelqx296/files/styles/billboard_tablet/public/media/images/2022/about-school-medicine-web.jpg?h=8d4d7647&itok=jMwyapG1,"The Spencer Fox Eccles School of Medicine was founded in 1905 as a two-year medical school and transitioned to a four-year, medical-degree-granting institution in 1941. The school of medicine is located on the upper campus of the University of Utah in Salt Lake City, Utah. It serves as the only MD-granting institution in the state of Utah and as the only academic medical center in the Mountain West.",https://medicine.utah.edu/,Full,On or prior to 1942*,29,"granting, utah, alpert, brown, warren"
Stanford University School of Medicine,Stanford,California,37.4318102,-122.213866,Yes,https://med.stanford.edu/mstp.html,Not available,Not available,Not available,https://med.stanford.edu/md-admissions/_jcr_content/hero/hero_banner/images/item0.img.620.high.jpg/lksc.jpg,"A leader in the biomedical revolution, Stanford Medicine has a long tradition of leadership in pioneering research, creative teaching protocols and effective clinical therapies.

Our close proximity to the resources of the university — including the Schools of Business, Law, Humanities and Sciences, and Engineering, our seamless relationship with our affiliated adult and children’s hospitals, and our ongoing associations with the entrepreneurial endeavors of Silicon Valley, make us uniquely positioned to accelerate the pace at which new knowledge is translated into tangible health benefits.",https://med.stanford.edu/,Full,On or prior to 1942*,23,"available, engineering, school, law, schools"
State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,Syracuse,New York,43.0403195,-76.141712,Yes,https://www.upstate.edu/mdphd/,Internal Medicine,Family Medicine,Pediatrics,https://assets-cnybj-com.s3.amazonaws.com/2024/02/upstate-medical-university-sign-on-campus-zoeyadvertisingcom-1.jpg,"SUNY Upstate Medical University's Norton College of Medicine has been educating students to become doctors for almost 175 years.

Our nationally recognized faculty received their medical training at some of the most prestigious medical schools, residency and fellowship programs in the country. Nearly all have subspecialty expertise.

Our students are motivated and driven, yet very supportive of one another. All of this translates into an excellent education, which is evident in our graduates' success.",https://www.upstate.edu/com/,Full,On or prior to 1942*,19,"medical, students, college, schools, study"
SUNY Downstate Health Sciences University College of Medicine,Brooklyn,New York,40.6550662,-73.948966,No,,Internal Medicine,Psychiatry,Anesthesiology,https://www.downstate.edu/education-training/student-services/admissions/_images/phab.jpg,"Leading for 160 Years. And counting.
In 1860, the College of Medicine that became Downstate was the world's first to bring medical students to patient bedsides. Today, we're changing education by not just emphasizing patient care, but student support, as well. The rigorous standard of our training remains the same. But we're doing more than ever to ensure your voice is heard through our student-first philosophy.

Trained here. Trusted everywhere.
More doctors in New York City trained at Downstate than any other medical college. We offer training in 56 specialties across our five schools and colleges, teaching nearly 1,900 students a year.",https://www.downstate.edu/,Full,On or prior to 1942*,19,"medical, students, college, schools, study"
Texas A&M University College of Medicine,Bryan,Texas,30.5988428,-96.396777,Yes,https://medicine.tamu.edu/degrees/md-phd.html,Not available,Not available,Not available,https://stories.tamu.edu/wp-content/uploads/2020/12/RR_Signage_0527.jpg,"About the College of Medicine
Founded by the Teague-Cranston Act, Texas A&M University College of Medicine was created to serve the underserved populations of Texas with the core values of Texas A&M University. Today, we are leading the way for 21st century medicine through research, clinical care, medical education, community impact and innovation.

Home
 About the College of Medicine
Key PrioritieS 
Aerospace Medicine
Aerospace
Medicine
Optimizing human health on Earth and beyond through pioneering aerospace medicine research and education.

patient care icon

Patient
Care
Fulfilling our purpose of providing transformative care to Texans.

Research Icon

Research &
Innovation
Finding new possibilities for healthcare's greatest challenges.

Rural Medicine

Rural
Medicine
Fulfilling our land-grant mission by advancing and broadening healthcare education in rural communities.

Mission
Our mission is to improve the health and well-being of the people of Texas through excellence in education, research and health care delivery.

Vision
Our vision is to develop the innovators and leaders in medicine and biomedical research who will transform American medicine in the 21st century.",,Full,1976,21,"texas, east, medicine, school, communities"
Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,El Paso,Texas,31.7718926,-106.43357,No,,Internal Medicine,Emergency Medicine,Psychiatry,"https://www.elpasotimes.com/gcdn/presto/2019/10/23/PTX1/c7654293-5ec5-44aa-9fcb-3a93138583b3-TTUHSC_El_Paso_Paul_L._Foster_School_of_Medecine_003.JPG?crop=2999,1687,x0,y152&width=2999&height=1687&format=pjpg&auto=webp","Texas Tech University Health Sciences Center El Paso is the only health sciences center along the U.S.-Mexico border that provides the opportunities and environment for direct intellectual and interpersonal exchanges among nursing, medical, dental and graduate research students on one campus.

It is the fourth of five universities in the Texas Tech University System and is comprised of four schools: the Paul L. Foster School of Medicine, the Gayle Greve Hunt School of Nursing, the L. Frederick Francis Graduate School of Biomedical Sciences and the Woody L. Hunt School of Dental Medicine.

Our physicians, clinics and partnering hospitals provide over $33 million in uncompensated health care services to the El Paso community every year.

The Paul L. Foster School of Medicine is the only medical school on the U.S.-Mexico border and was one of the first medical schools in the nation to require its students to learn medical Spanish. Unlike a traditional medical school, which requires students to wait until their third year of studies before they are introduced to the clinical sciences, students at the Foster School of Medicine are immersed into the basic and clinical sciences in their first year.",https://ttuhscep.edu/som/default.aspx,Full,2008,21,"texas, east, medicine, school, communities"
Texas Tech University Health Sciences Center School of Medicine,Lubbock,Texas,33.5901543,-101.893778,Yes,https://www.ttuhsc.edu/biomedical-sciences/program/md-phd.aspx,Internal Medicine,Family Medicine,Emergency Medicine,https://www.ttuhsc.edu/visitors/images/UC_2019_aerial.jpg,"Mission
The Texas Tech University Health Sciences Center (TTUHSC) School of Medicine (SOM) saves lives, improves the health of our communities, and meets evolving needs for primary and specialty care. Drawing on the expertise and insight forged in our communities across West Texas, we train future physicians using a continuously adapting curriculum that values educational excellence and innovation in research and patient care.

We foster an environment that promotes interprofessional collaboration and a culture that is inclusive and welcoming to our patients, our learners, our teachers, and all who facilitate learning and healing. 

Vision
To be known for excellence in teaching, patient care, and scientific contributions that enhance the health care of communities in the region.",https://www.ttuhsc.edu/medicine/default.aspx,Full,1971,21,"texas, east, medicine, school, communities"
The University of Texas at Austin Dell Medical School,Austin,Texas,30.2755353,-97.736104,No,,Internal Medicine,Psychiatry,Family Medicine,https://mapwell.s3.amazonaws.com/1/account_photo/2017__01__27--Dell-Med-Health-Learning-Building-DSC_4300.jpg,"Our Vision
Working together with our community — and powered by cutting-edge technology and digital capabilities — we set the standard for excellence in integrated, multidisciplinary patient care, pioneer research with meaningful impact, lead innovation in medical education and catalyze life sciences entrepreneurship.

Our vision is defining the future of health — because we know that what starts here changes the world.

Our Mission To revolutionize how people get and stay healthy:
Building a sustainable academic health system that delivers person-centered, integrated care across the continuum.
Embracing novel, collaborative solutions to ensure that everyone has the opportunity to be as healthy as possible.
Empowering patients, families and communities to be active participants in the health care process through information, access, engagement and agency.
Cultivating transformative research, entrepreneurship and innovation that leads to real-world impact.
Equipping faculty, staff and learners with the knowledge and skills necessary to lead the next generation of health care.
Leading the advancement and use of cutting-edge technologies, data and digital capabilities that serve the needs of patients, physicians, health care professionals, faculty, staff, learners and our community",https://dellmed.utexas.edu/,Full,2015,9,"cutting, edge, uconn, innovation, health"
The University of Texas at Tyler School of Medicine,Tyler,Texas,32.3150089,-95.2545723,No,,Not available,Not available,Not available,https://cdn.prod.website-files.com/5f035f109555c1787ed64988/646bb9cc6bc9bf2de03de580_uttyler-building.jpeg,"The University of Texas at Tyler School of Medicine was founded to address the shortage of physicians and lack of access to healthcare in East Texas, with the singular goal of improving the quality of life and health in our region.

Mission
The School of Medicine's mission is fourfold:
Community: Embed the School of Medicine within East Texas, focusing on communication, responsiveness, and community. The School of Medicine is East Texas, and everything we do will be in partnership with our communities.

Education: Recruit, support and develop a representative healthcare and research workforce from East Texas, focused on reducing health disparities in East Texas.

Research: Develop an array of biomedical, clinical, translational and population-based research programs focused on understanding and eliminating health disparities in East Texas.

Clinical: Expand access to top-quality healthcare in the local communities of East Texas by developing and implementing innovative healthcare systems and leveraging existing infrastructure and programs.",https://www.uttyler.edu/academics/colleges-schools/medicine/,Preliminary,2022,21,"texas, east, medicine, school, communities"
The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,San Antonio,Texas,29.5075381,-98.577883,Yes,https://uthscsa.edu/biomedical-sciences/programs/md-phd,Not available,Not available,Not available,https://www.uthscsa.edu/sites/default/files/2018/uthealthsanantonio.jpg,"The Joe R. & Teresa Lozano Long School of Medicine at UT Health San Antonio is the largest trainer of physicians in South Texas, many of whom remain in San Antonio and the region to practice medicine. With full accreditation by the Liaison Committee on Medical Education (LCME), the school annually educates more than 900 students and trains 800 residents.

The UT Health Physicians practice is the largest vertically integrated medical group in San Antonio with 850 physicians in more than 100 specialties. This is powerful for patients, because specialists who are at the top of their professions work together in close proximity. Only here can a patient see these specialists as part of one team, each talking to the other about the patient's case. The spectrum of health care extends from primary care in health maintenance and disease prevention, all the way through the most complex specialty care, such as liver transplants or curing cardiac arrhythmias.

The Long School of Medicine and UT Health San Antonio have a highly productive research enterprise replete with basic scientific discoveries and state-of-the-art clinical care. World leaders in Alzheimer's disease, diabetes, cancer, aging and kidney disease, to name a few fields, are translating molecular discoveries into new therapies for these diseases. School of Medicine faculty members regularly publish in the top journals in the nation. UT Health San Antonio is home to the only National Cancer Institute designated Cancer Center in Central and South Texas, and a National Health Institute funded aging center and clinical trials center

San Antonio is fertile ground for testing new clinical treatments because demographically it is what the nation will look like in 20 years. The School of Medicine's clinical, research and educational partnerships with University Health System, the military including the South Texas Veterans Health Care System, and numerous state and private partners enrich San Antonio's large biosciences and health care economic sector.",https://uthscsa.edu/medicine/,Full,1968,32,"san, antonio, pushing, cultivates, diego"
The University of Toledo College of Medicine and Life Sciences,Toledo,Ohio,41.6163035,-83.618363,Yes,https://www.utoledo.edu/med/mdphd/,Internal Medicine,Pediatrics,General Surgery,https://upload.wikimedia.org/wikipedia/commons/b/b0/The_University_of_Toledo_Medical_Center%2C_May_2020.jpg,"about the college of medicine and life sciences
The University of Toledo College of Medicine and Life Sciences is dedicated to improving health in the communities and region we serve. We do this by educating excellent clinicians and scientists, by providing patient centered and high-quality care and by producing nationally recognized research in focused area. Read more about our mission.

College of Medicine and Life Sciences logoThe College of Medicine offers a world-class education with medical degrees, dual degree programs, graduate degrees and graduate certificates. Learn more about our education programs.

Our state-of-the-art Interprofessional Immersive Simulation Center reflects today's reality of medicine. Students in differing specialties are learning the importance of interdisciplinary teamwork and collaboration. The three-story, 65,000-square-foot facility is the first in the nation to incorporate three integrated simulation centers: a progressive anatomy and surgical skills center, an advanced clinical simulation center, and a virtual immersive reality center.

Founded in 1964, the College has blossomed into an academic health sciences center. Learn more about our history.

In 2015, the UToledo Board of Trustees approved an academic affiliation between the College of Medicine and ProMedica, a mission-based, not-for-profit health and well-being organization headquartered in Toledo nationally recognized for its advocacy programs and efforts to address social determinants of health. This affiliation agreement was updated in 2024 and continues the original intent of the partnership to attract and retain the best medical students, residents and fellows to Toledo and support access to high-quality healthcare in our community.",https://www.utoledo.edu/med/,Full,1968,13,"center, simulation, ummc, campus, health"
The Warren Alpert Medical School of Brown University,Providence,Rhode Island,41.8189072,-71.41103,Yes,https://md-phd.biomed.brown.edu/,Internal Medicine,Radiology,Pediatrics,https://admission.med.brown.edu/sites/default/files/styles/ultrawide_med/public/2022-04/20210418-SPH-Alpert%20Medical%20School%20in%20Spring.jpg?h=1331d1be&itok=5aETzBXh,"Since granting its first Doctor of Medicine degrees in 1975, The Warren Alpert Medical School of Brown University has become a national leader in medical education and biomedical research.",https://medical.brown.edu/,Full,1963,29,"granting, utah, alpert, brown, warren"
"Thomas F. Frist, Jr. College of Medicine at Belmont University",Nashville,Tennessee,36.13484,-86.7928055,No,,Not available,Not available,Not available,https://www.belmont.edu/stories/articles/2024/_images/frist-building.jpg,"Our Mission
The Thomas F. Frist, Jr. College of Medicine at Belmont University is dedicated to cultivating diverse physician leaders of character who embrace a whole-person approach to healing in a community of service-learning, inspired by the love and grace of Christ.

Our Vision
Shaping medicine through transformative whole person care.",https://www.belmont.edu/medicine/,Preliminary,2023,27,"person, creighton, forming, dedicated, personalis"
Tufts University School of Medicine,Boston,Massachusetts,42.3500279,-71.065374,Yes,https://gsbs.tufts.edu/academics/mdphd-mstp,Internal Medicine,Anesthesiology,Pediatrics,https://medicine.tufts.edu/sites/g/files/lrezom436/files/styles/large/public/2024-05/Jaharis%20Family%20Center%20for%20Biomedical%20and%20Nutrition%20Research%20Building.jpg?itok=2FFQENTO,"Tufts University School of Medicine prepares students to become skilled, passionate health care providers and researchers that make a difference in the world. Our graduates continue on to top-tier residencies or take leadership roles at prestigious organizations around the country. They segue into dynamic, fulfilling careers that improve lives and tackle some of medicine’s toughest challenges.",https://medicine.tufts.edu/,Full,On or prior to 1942*,33,"toughest, world, medicine, hand, students"
Tulane University School of Medicine,New Orleans,Louisiana,29.9549044,-90.0795246,Yes,https://medicine.tulane.edu/undergraduate-medical-education/md-phd-programs,Internal Medicine,General Surgery,Pediatrics,https://medicine.tulane.edu/sites/default/files/images/events/My%20project%20%2833%29.jpg,"Founded in 1834 as the Medical College of Louisiana, Tulane University School of Medicine is one of the oldest medical schools in the United States. Established to combat yellow fever and smallpox in New Orleans, the school has become a leading institution known for medical education, research, and patient care. 

Over the years, it has significantly contributed to medicine, including groundbreaking research and innovative treatments. 

Today, Tulane continues its legacy of excellence, training the next generation of healthcare leaders and advancing medical knowledge.",https://medicine.tulane.edu/,Full,On or prior to 1942*,18,"schools, medical, report, news, northwell"
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Bethesda,Maryland,39.0017884,-77.089337,Yes,https://medschool.usuhs.edu/academics/md-phd-physician-scientist,Not available,Not available,Not available,https://medicalaid.org/wp-content/uploads/2024/11/uniformed-services-university.jpg,"Learning to Care FOR THOSE IN HARM'S WAY
Among all accredited medical schools in the United States, only the School of Medicine at USU can rightfully claim the title, “America’s Medical School.” Named for the Louisiana Congressman who championed its creation, the F. Edward Hébert School of Medicine was established in 1972 to ensure that the Army, Navy, Air Force, and U.S. Public Health Service would have a steady supply of physician-leaders to provide the backbone for their medical corps.

Since our first graduating class of just 29 students to the now more than 8,000 USU School of Medicine alumni, our graduates are not simply doctors, researchers and scholars; they are leaders, innovators, and public servants committed to a mission far greater than themselves. They serve in vital capacities of biomedicine, and many hold key leadership positions critical to the successful operation of the military and public health systems. The roles of our graduates are diverse and far reaching, including heading terrorism and emergency response teams, serving in the White House Presidential medical detail, commanding major Military Treatment Facilities, and conducting vital research across all disciplines of medicine.

As physicians, scientists, and health practitioners in an ever-changing world, we are constantly striving to build on our established legacy of excellence. Through our world-class education and unique training opportunities, our impactful research, and our commitment to service, we stand ready to tackle the most pressing military, public, and global health challenges.

Driven by our motto, ""Learning to Care for Those in Harm's Way,"" the USU School of Medicine is a force in military health, biomedical research, medical education, global health engagement, and health care leadership.",https://medschool.usuhs.edu/,Full,1976,36,"public, school, health, uw, solve"
Universidad Central del Caribe School of Medicine,"Bayamon, PR",,18.3659724,-66.156307,No,,Not available,Not available,Not available,https://www.prospectivedoctor.com/wp-content/uploads/2020/03/Universidad-Central-del-Caribe-%E2%80%93-School-of-Medicine-Bayamon-Puerto-Rico.jpg,Not available.,Not available,Full,1979,23,"available, engineering, school, law, schools"
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Birmingham,Alabama,33.5027656,-86.80637,Yes,https://www.uab.edu/medicine/mstp/,Internal Medicine,Family Medicine,Pediatrics,https://www.uab.edu/medicine/magazine/images/conf-center-700x500.jpg,"At UAB, we're training the next generation of physicians and physician-scientists, answering basic scientific questions that lead to medical innovations, and bringing the highest quality health care to all of our patients.

UAB is the heartbeat of Birmingham and an integral medical leader in the Southeast. The Birmingham campus is within walking distance of some of the best parks, entertainment, and dining in the region. Our regional campuses—in Huntsville, Montgomery and Tuscaloosa—expand our academic reach and responsibilities while increasing our footprint in rural and underserved areas of the state.

Our school is made up of more than 800 students, 1,100 residents and fellows, and 1,800 full-time faculty across 27 academic departments. We are the home of The Kirklin Clinic, a multi-disciplinary medical home; University Hospital, one of the largest academic hospitals in the country; and our faculty serve the Children's of Alabama hospital.",https://www.uab.edu/medicine/home/,Full,1946,25,"lead, home, facility, innovative, grande"
University of Arizona College of Medicine,Tucson,Arizona,32.240613,-110.948229,Yes,https://mdphd.medicine.arizona.edu/,Not available,Not available,Not available,https://medicalimaging.medicine.arizona.edu/sites/default/files/styles/medium_image/public/college-of-medicine-exterior-1.png?itok=7XWBGJy1,"Advancing the health and wellness of our community and beyond, in the pursuit of excellence, through relentless innovation across our tripartite mission — education, research and patient care.
The College of Medicine – Tucson trains future physicians to provide high-quality and compassionate care, develops scientists focused on exciting discoveries, and nurtures undergraduate and graduate students interested the many professions in health care and the health sciences. The College of Medicine – Tucson is part of University of Arizona Health Sciences, the statewide leader in health care education.",https://medicine.arizona.edu/,Full,1965,5,"health, care, college, arizona, education"
University of Arizona College of Medicine - Phoenix,Phoenix,Arizona,33.4526545,-112.068389,Yes,https://phoenixmed.arizona.edu/md-phd,Not available,Not available,Not available,https://phoenixmed.arizona.edu/sites/default/files/inline-images/BSPB.jpg,"Mission
The University of Arizona College of Medicine – Phoenix inspires and trains exemplary physicians, scientists and leaders to optimize health and health care in Arizona and beyond. We are uniquely positioned to accelerate the biomedical and economic engines in Phoenix and the State by leveraging our vital relationships with key clinical and community partners.

Vision
As outlined in our Five-Year Strategic Plan, the vision of the college is to improve the health of communities through distinction in personalized medical education, translational research and patient care.

Core Values
Collaboration, Community, Excellence, Innovation, Integrity and Servant Leadership.",https://phoenixmed.arizona.edu/,Full,2012,5,"health, care, college, arizona, education"
University of Arkansas for Medical Sciences College of Medicine,Little Rock,Arkansas,34.749297,-92.32298,Yes,https://medicine.uams.edu/admissions/md-phd/,Internal Medicine,Family Medicine,Pediatrics,https://medicine.uams.edu/gme/wp-content/uploads/sites/4/2020/09/UAMS-2560x1920-1-1024x768.jpg,"The College of Medicine at the University of Arkansas for Medical Sciences (UAMS) has held a unique, vital role in Arkansas since 1879. As a major part of the state’s only medical sciences university, we train the majority of Arkansas’ physicians. Our outstanding faculty members are on staff at UAMS Medical Center, Arkansas Children’s Hospital, the Central Arkansas Veterans Healthcare System, UAMS regional centers and numerous other clinics and facilities providing services throughout the state of Arkansas and for patients from around the world.

Many of our basic sciences faculty members also hold appointments in the UAMS Graduate School, teaching tomorrow’s scientists. And with a vibrant, world-class research enterprise that emphasizes multidisciplinary collaboration, the College of Medicine’s researchers and clinicians serve on the forefront of medical advances.",https://medicine.uams.edu/,Full,1944,35,"arkansas, members, school, nyu, uams"
"University of California, Davis, School of Medicine",Sacramento,California,38.5529847,-121.4551655,Yes,https://health.ucdavis.edu/mdprogram/md-phd/,Internal Medicine,Family Medicine,Psychiatry,https://health.ucdavis.edu/media-resources/medical-school/images/2-Column-Content/UC-Davis-Medical-Center-aerial-daytime.jpg,"Our dedication to putting our values into action drives our medical school’s success. We are consistently ranked among the nation’s leading medical schools across specialties, with top national rankings in primary care and research. Our exceptional students, residents and fellows are trained by our renowned faculty at UC Davis Medical Center, the region’s No. 1 ranked hospital and nationally recognized teaching hospital. We’re also a national model for developing innovative pathway programs training physician-scientists and future physicians committed to serving under-resourced urban, rural and American Indian and Alaska Native communities, among many others.",https://health.ucdavis.edu/medical-school/,Full,1967,22,"national, academy, cincinnati, american, uc"
"University of California, Irvine, School of Medicine",Irvine,California,33.6442967,-117.854355,Yes,https://mstp.uci.edu/,Not available,Not available,Not available,https://medschool.uci.edu/sites/default/files/styles/wysiwyg_full_width/public/media-images/medical_education_bldg_day.jpg,"Powered by discovery, innovation and inclusive excellence
Our mission at UCI School of Medicine is: Discover. Teach. Heal. Through excellence in research, education, patient care and community service, we seek to advance individual and population health in Orange County and beyond.",https://medschool.uci.edu/,Full,1961,8,"inclusive, discovery, curiosity, uci, orange"
